"user_id","job_id","direction","time"
4167,839,false,2019-09-09 04:35:36
2115,3066,true,2019-08-13 19:38:56
3438,7645,false,2019-08-16 07:41:50
5121,6031,false,2019-08-22 06:47:34
10278,3190,false,2019-09-19 09:49:25
5157,3545,true,2019-08-21 09:56:10
1728,2896,false,2019-09-06 08:44:26
9036,4736,true,2019-09-08 16:15:23
7695,3360,true,2019-09-01 20:30:11
639,928,false,2019-08-11 11:07:51
4887,12648,false,2019-09-18 15:25:02
7110,10870,false,2019-08-30 21:38:55
6939,3711,false,2019-08-29 12:40:28
6516,6194,false,2019-08-27 11:44:54
10377,41,false,2019-09-19 14:06:16
3321,6722,false,2019-08-15 17:27:38
6759,6031,false,2019-08-28 11:28:49
5193,3228,true,2019-08-23 08:28:51
4473,8957,true,2019-08-19 12:56:43
1917,3188,true,2019-08-13 12:48:57
2115,3292,true,2019-08-13 19:41:58
2916,2877,false,2019-08-14 19:31:03
4014,2722,true,2019-09-16 17:50:02
4284,9792,false,2019-08-22 17:26:46
6849,3893,true,2019-08-28 18:14:28
5265,7761,false,2019-08-21 13:29:48
3717,4921,false,2019-08-16 16:56:51
2394,4615,false,2019-08-14 11:03:38
6291,5713,true,2019-08-26 20:02:18
8793,5084,false,2019-09-09 09:27:45
1170,9033,false,2019-09-18 15:17:56
1908,9124,false,2019-08-29 14:14:48
270,9788,false,2019-09-03 17:17:32
9045,9822,true,2019-09-08 16:57:20
6633,4649,false,2019-08-27 19:25:12
6651,2775,false,2019-09-20 09:06:46
2871,6106,false,2019-08-14 20:36:34
3402,778,false,2019-09-02 21:58:25
6507,11745,true,2019-09-11 14:43:12
10530,3053,false,2019-09-22 23:04:41
63,3685,false,2019-08-12 16:14:57
5733,2942,true,2019-08-22 22:07:29
1791,2774,true,2019-08-13 09:12:20
7281,8038,false,2019-09-21 07:12:38
1899,661,true,2019-08-24 11:06:20
4284,83,true,2019-08-18 21:16:13
3303,7987,false,2019-08-15 17:11:01
3249,3068,true,2019-08-15 13:51:51
4311,2565,false,2019-09-01 18:56:44
6183,7947,true,2019-08-24 23:07:44
6273,3074,false,2019-08-25 17:21:24
2853,2896,false,2019-08-14 17:46:19
2277,3881,true,2019-08-14 09:06:31
8397,7757,false,2019-09-24 00:25:25
1170,3180,false,2019-08-12 14:50:30
3276,3059,false,2019-08-15 16:25:21
10008,9231,false,2019-09-16 10:29:55
1314,2831,true,2019-08-12 17:11:10
3753,3182,false,2019-08-16 18:07:15
5193,7710,true,2019-08-23 08:31:55
7794,9378,false,2019-09-23 20:23:06
7434,3286,true,2019-08-31 12:51:44
5085,3685,false,2019-08-20 21:19:21
10368,10957,false,2019-09-19 14:20:02
5193,9022,true,2019-08-23 08:33:11
1494,3436,true,2019-08-12 20:03:20
1575,118,false,2019-08-12 21:02:26
3249,5421,true,2019-08-15 13:49:09
3528,9200,false,2019-08-16 14:08:40
7533,7757,true,2019-09-01 06:00:14
1575,4375,false,2019-08-12 21:04:24
7092,9207,false,2019-09-02 10:19:24
9684,10355,false,2019-09-12 11:12:00
6642,7588,true,2019-08-27 19:51:59
9315,2911,false,2019-09-10 12:18:09
5085,6275,false,2019-08-20 21:20:00
117,7652,false,2019-08-12 10:54:10
1791,6944,true,2019-08-13 09:13:01
2340,2853,false,2019-08-14 15:58:15
4311,3597,false,2019-09-01 19:15:51
2637,5421,false,2019-08-14 14:49:12
2295,6571,false,2019-08-14 09:21:05
4428,1565,false,2019-08-19 11:18:02
8370,1301,false,2019-09-04 22:45:22
8991,11463,false,2019-09-08 12:19:28
1926,11875,false,2019-09-11 10:50:46
10413,9816,true,2019-09-19 18:44:14
2070,3282,true,2019-08-13 18:23:40
7443,774,true,2019-09-01 12:27:11
1404,4527,false,2019-08-12 18:05:24
3321,3918,false,2019-08-15 17:26:04
1170,7547,false,2019-08-12 14:51:59
6786,5898,false,2019-08-28 12:16:01
117,3545,true,2019-08-12 11:01:16
7326,9528,false,2019-08-30 16:16:35
2304,2821,false,2019-08-15 16:39:51
2097,3404,false,2019-08-14 19:18:18
5193,2811,true,2019-08-23 08:32:37
3654,3286,true,2019-08-29 08:00:47
270,7032,false,2019-08-23 09:56:24
8685,23,false,2019-09-06 14:59:04
2583,3703,false,2019-08-15 12:44:35
4311,10008,true,2019-09-01 18:41:18
1224,3478,false,2019-08-19 16:07:45
990,4375,false,2019-08-12 12:59:43
8739,3177,false,2019-09-07 21:38:17
6534,2942,false,2019-08-27 12:46:04
4392,3724,true,2019-08-19 10:57:21
3024,7649,false,2019-08-15 09:14:07
6831,2945,true,2019-08-28 16:22:56
1269,7552,false,2019-08-19 16:55:04
2232,650,false,2019-08-14 08:06:50
6327,4556,true,2019-08-26 04:19:51
8559,5090,false,2019-09-05 19:01:35
5994,2886,false,2019-08-23 14:24:42
270,6023,false,2019-08-19 21:30:36
4473,3192,true,2019-08-19 12:52:31
3897,116,true,2019-08-16 21:44:16
3717,12103,false,2019-09-12 11:03:28
6768,9356,false,2019-08-28 11:58:52
